product_id,title,category,current_price,price_segment,rating_score,review_count,total_sold,gender,image_url
BOOK_001,mưa đỏ,books,184500,phân khúc phổ thông,5.0,47,130,,https://cdn1.fahasa.com/media/catalog/product/m/u/muado.jpg
BOOK_002,hồ điệp và kình ngư,books,111600,phân khúc phổ thông,3.4,36,298,,https://cdn1.fahasa.com/media/catalog/product/b/i/bia-2d_ho-diep-va-kinh-ngu_17307.jpg
BOOK_003,nhà giả kim,books,67000,phân khúc giá rẻ,5.0,22,234,,https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_36793.jpg
BOOK_004,bước vào bóng tối tập 2 những vụ án rung chuyển dư luận qua góc nhìn của bat saber,books,94375,phân khúc giá rẻ,4.3,48,394,,https://cdn1.fahasa.com/media/catalog/product/z/5/z5512986570666_457bdc9c59e7fea8485f990df02346b0.jpg
BOOK_005,bến xe,books,54720,phân khúc giá rẻ,5.0,42,104,,https://cdn1.fahasa.com/media/catalog/product/8/9/8935212349208.jpg
BOOK_006,nếu biết trăm năm là hữu hạn,books,143000,phân khúc phổ thông,4.4,54,442,,https://cdn1.fahasa.com/media/catalog/product/8/9/8932000134749_1.jpg
BOOK_007,light novel dược sư tự sự tập 7,books,112500,phân khúc phổ thông,4.8,30,250,,https://cdn1.fahasa.com/media/catalog/product/d/u/duoc-su-tu-su_light-novel_tap-7_qua-tang_tb-2025.jpg
BOOK_008,nhật ký đặng thùy trâm,books,76500,phân khúc giá rẻ,4.9,67,546,,https://cdn1.fahasa.com/media/catalog/product/8/9/8935235234338.jpg
BOOK_009,người đàn ông mang tên ove,books,136000,phân khúc phổ thông,3.2,62,506,,https://cdn1.fahasa.com/media/catalog/product/8/9/8934974182375.jpg
BOOK_010,cây cam ngọt của tôi,books,91500,phân khúc giá rẻ,4.4,34,387,,https://cdn1.fahasa.com/media/catalog/product/i/m/image_217480.jpg
BOOK_011,người bà tài giỏi vùng saga,books,102000,phân khúc phổ thông,4.9,40,330,,https://cdn1.fahasa.com/media/catalog/product/i/m/image_231202.jpg
BOOK_012,hà thanh hải yến ngang qua ngõ nhỏ bình an,books,156500,phân khúc phổ thông,4.4,52,426,,https://cdn1.fahasa.com/media/catalog/product/b/_/b_a-_o-h_-thanh-h_i-y_n_b_a-tr_c.jpg
BOOK_013,hoàng đế xứ gladness,books,209000,phân khúc phổ thông,4.2,58,474,,https://cdn1.fahasa.com/media/catalog/product/z/6/z6839868801050_be858bbe2e845db546614803cff0165e.jpg
BOOK_014,hai vạn dặm dưới biển,books,69300,phân khúc giá rẻ,3.9,26,218,,https://cdn1.fahasa.com/media/catalog/product/b/i/bia_hai-van-dam-duoi-bien_tb-8-2.jpg
BOOK_015,lén nhặt chuyện đời,books,44200,phân khúc giá rẻ,5.0,36,298,,https://cdn1.fahasa.com/media/wysiwyg/HONG_KD/FRAME_NCC_2024/Frame_NCC_Sbook_1080x1080.png
BOOK_016,nỗi buồn chiến tranh,books,110500,phân khúc phổ thông,4.3,12,106,,https://cdn1.fahasa.com/media/catalog/product/8/9/8934974180098_1.jpg
BOOK_017,bông sen vàng,books,127000,phân khúc phổ thông,4.6,93,754,,https://cdn1.fahasa.com/media/wysiwyg/HONG_KD/FRAME_NCC_2024/Frame_NCC_Alpha_1080x1080.png
BOOK_018,sách tô màu lạc vào thế giới chibi,books,74500,phân khúc giá rẻ,4.4,45,370,,https://cdn1.fahasa.com/media/catalog/product/l/a/lacvaothegioichibi.jpg
BOOK_019,không gia đình,books,172000,phân khúc phổ thông,3.7,16,138,,https://cdn1.fahasa.com/media/catalog/product/z/5/z5767334826845_2e61b754a821ac7fd.jpg
BOOK_020,trốn lên mái nhà để khóc,books,80500,phân khúc giá rẻ,5.0,95,770,,https://cdn1.fahasa.com/media/catalog/product/b/_/b_a-1-tr_n-l_n-m_i-nh_-_-kh_c-2.jpg
BOOK_021,nhật ký trong tù,books,38000,phân khúc giá rẻ,5.0,71,578,,https://cdn1.fahasa.com/media/catalog/product/i/m/image_244718_1_5088.jpg
BOOK_022,thép đã tôi thế đấy,books,97300,phân khúc giá rẻ,4.6,100,810,,https://cdn1.fahasa.com/media/catalog/product/8/9/8935212362139.jpg
BOOK_023,lũ trẻ đường tàu,books,76300,phân khúc giá rẻ,4.9,79,642,,https://cdn1.fahasa.com/media/catalog/product/8/9/8935212365994.jpg
BOOK_024,hai số phận,books,188000,phân khúc phổ thông,4.4,52,426,,https://cdn1.fahasa.com/media/catalog/product/h/s/hsp-bia-cung---xuat-in-goc-b1_1.jpg
BOOK_026,góc nhỏ có nắng,books,57500,phân khúc giá rẻ,5.0,49,188,,https://cdn1.fahasa.com/media/catalog/product/b/_/b_a-in-g_c-nh_-c_-n_ng.jpg
BOOK_027,vừa nhắm mắt vừa mở cửa số,books,63500,phân khúc giá rẻ,4.2,91,738,,https://cdn1.fahasa.com/media/catalog/product/8/9/8934974176213.jpg
BOOK_028,tanya chiến ký tập 5 abyssus abyssum invocate,books,211500,phân khúc phổ thông,4.4,22,186,,https://cdn1.fahasa.com/media/catalog/product/z/6/z6899729023866_e7c8f5eab42e1fe61852c29d8b32e00a.jpg
BOOK_029,tuyển tập nam cao 2023,books,108500,phân khúc phổ thông,3.2,96,778,,https://cdn1.fahasa.com/media/catalog/product/8/9/8936067607949.jpg
BOOK_030,tết ở làng địa ngục tập 2 u hồn tượng đất,books,151000,phân khúc phổ thông,4.4,73,594,,https://cdn1.fahasa.com/media/catalog/product/z/6/z6553474747040_950a94cd62237be871809c6d6dd48a2e.jpg
