,product_id,current_price,rating_score,review_count,total_sold,promotion_content,is_promotion,gender,price_segment,category,title
0,BOOK_001,184500,5.0,47,130,,0,,phân khúc phổ thông,books,mưa đỏ
1,BOOK_002,111600,3.4,36,298,,0,,phân khúc phổ thông,books,hồ điệp và kình ngư
2,BOOK_003,67000,5.0,22,234,,0,,phân khúc giá rẻ,books,nhà giả kim
3,BOOK_004,94375,4.3,48,394,,0,,phân khúc giá rẻ,books,bước vào bóng tối tập 2 những vụ án rung chuyển dư luận qua góc nhìn của bat saber
4,BOOK_005,54720,5.0,42,104,,0,,phân khúc giá rẻ,books,bến xe
5,BOOK_006,143000,4.4,54,442,,0,,phân khúc phổ thông,books,nếu biết trăm năm là hữu hạn
6,BOOK_007,112500,4.8,30,250,,0,,phân khúc phổ thông,books,light novel dược sư tự sự tập 7
7,BOOK_008,76500,4.9,67,546,,0,,phân khúc giá rẻ,books,nhật ký đặng thùy trâm
8,BOOK_009,136000,3.2,62,506,,0,,phân khúc phổ thông,books,người đàn ông mang tên ove
9,BOOK_010,91500,4.4,34,387,,0,,phân khúc giá rẻ,books,cây cam ngọt của tôi
10,BOOK_011,102000,4.9,40,330,,0,,phân khúc phổ thông,books,người bà tài giỏi vùng saga
11,BOOK_012,156500,4.4,52,426,,0,,phân khúc phổ thông,books,hà thanh hải yến ngang qua ngõ nhỏ bình an
12,BOOK_013,209000,4.2,58,474,,0,,phân khúc phổ thông,books,hoàng đế xứ gladness
13,BOOK_014,69300,3.9,26,218,,0,,phân khúc giá rẻ,books,hai vạn dặm dưới biển
14,BOOK_015,44200,5.0,36,298,,0,,phân khúc giá rẻ,books,lén nhặt chuyện đời
15,BOOK_016,110500,4.3,12,106,,0,,phân khúc phổ thông,books,nỗi buồn chiến tranh
16,BOOK_017,127000,4.6,93,754,,0,,phân khúc phổ thông,books,bông sen vàng
17,BOOK_018,74500,4.4,45,370,,0,,phân khúc giá rẻ,books,sách tô màu lạc vào thế giới chibi
18,BOOK_019,172000,3.7,16,138,,0,,phân khúc phổ thông,books,không gia đình
19,BOOK_020,80500,5.0,95,770,,0,,phân khúc giá rẻ,books,trốn lên mái nhà để khóc
20,BOOK_021,38000,5.0,71,578,,0,,phân khúc giá rẻ,books,nhật ký trong tù
21,BOOK_022,97300,4.6,100,810,,0,,phân khúc giá rẻ,books,thép đã tôi thế đấy
22,BOOK_023,76300,4.9,79,642,,0,,phân khúc giá rẻ,books,lũ trẻ đường tàu
23,BOOK_024,188000,4.4,52,426,,0,,phân khúc phổ thông,books,hai số phận
24,BOOK_025,188000,4.2,92,746,,0,,phân khúc phổ thông,books,hai số phận
25,BOOK_026,57500,5.0,49,188,,0,,phân khúc giá rẻ,books,góc nhỏ có nắng
26,BOOK_027,63500,4.2,91,738,,0,,phân khúc giá rẻ,books,vừa nhắm mắt vừa mở cửa số
27,BOOK_028,211500,4.4,22,186,,0,,phân khúc phổ thông,books,tanya chiến ký tập 5 abyssus abyssum invocate
28,BOOK_029,108500,3.2,96,778,,0,,phân khúc phổ thông,books,tuyển tập nam cao 2023
29,BOOK_030,151000,4.4,73,594,,0,,phân khúc phổ thông,books,tết ở làng địa ngục tập 2 u hồn tượng đất
30,BOOK_031,102000,4.1,57,466,,0,,phân khúc phổ thông,books,totto chan bên cửa sổ
31,BOOK_032,96500,4.0,87,706,,0,,phân khúc giá rẻ,books,muôn trùng xứ sở
32,BOOK_033,56000,3.2,7,66,,0,,phân khúc giá rẻ,books,nhật ký trong tù
33,BOOK_034,49500,3.9,39,322,,0,,phân khúc giá rẻ,books,thám tử lừng danh conan tiểu thuyết dư ảnh của độc nhãn
34,BOOK_035,94500,3.4,11,98,,0,,phân khúc giá rẻ,books,tủ sách thanh niên mãi mãi tuổi hai mươi nhật ký thời chiến việt nam
35,BOOK_036,118000,5.0,9,82,,0,,phân khúc phổ thông,books,điều kỳ diệu của tiệm tạp hóa namiya
36,BOOK_037,153000,5.0,34,282,,0,,phân khúc phổ thông,books,điều kỳ diệu
37,BOOK_038,206000,4.2,93,754,,0,,phân khúc phổ thông,books,phố dài
38,BOOK_039,106000,3.3,54,442,,0,,phân khúc phổ thông,books,tiệm sách của nàng
39,BOOK_040,45000,4.8,21,178,,0,,phân khúc giá rẻ,books,thám tử lừng danh conan tiểu thuyết tàu ngầm sắt màu đen
40,BOOK_041,146000,3.1,29,242,,0,,phân khúc phổ thông,books,tri thức và trưởng thành
41,BOOK_042,100000,4.4,100,810,,0,,phân khúc phổ thông,books,86 eighty six alter 1 đôi nét thanh xuân của tử thần
42,BOOK_043,127500,4.6,7,66,,0,,phân khúc phổ thông,books,harry potter và hòn đá phù thuỷ tập 1
43,BOOK_044,199000,4.6,17,146,,0,,phân khúc phổ thông,books,kẻ trộm sách
44,BOOK_045,61500,4.4,44,362,,0,,phân khúc giá rẻ,books,tô bình yên vẽ hạnh phúc
45,BOOK_046,100000,4.3,44,362,,0,,phân khúc phổ thông,books,thép đã tôi thế đấy
46,BOOK_047,128000,4.4,98,794,,0,,phân khúc phổ thông,books,sưởi ấm mặt trời phần tiếp theo của cây cam ngọt của tôi
47,BOOK_048,212000,3.3,60,490,,0,,phân khúc phổ thông,books,lớp có tang sự không cần điểm danh
